symbol,year,revenue,net_income,eps,roe,de,payout
2130,2022,155347238.0,-38772314.0,-1.85,-23.2297,0.2163,
2130,2023,150945257.0,-74439441.0,-1.1973,-75.8977,0.3288,
2130,2024,137669966.0,-16905612.0,-0.99,-22.9206,0.4343,-0.1775
2130,2025,98810937.0,-89058923.0,-4.84,-64.1782,0.1603,
2140,2021,,,,,,
2140,2022,266226780.0,-44767736.0,-0.5111,-6.0848,1.0222,
2140,2023,20085153.0,-216250945.0,-2.49,-43.2501,1.6229,
2140,2024,23145195.0,-164408943.0,-1.78,-27.0913,0.0091,
2140,2025,8685756.0,359733625.0,3.57,37.7747,0.0686,
2150,2021,,,,,,
2150,2022,112317021.0,104330993.0,3.17,15.0834,0.0856,0.3108
2150,2023,153919955.0,47878843.0,1.46,6.635,0.0212,0.6766
2150,2024,138930443.0,96831561.0,2.94,12.8375,0.035,0.6786
2150,2025,128568280.0,83660329.0,2.54,10.1833,0.039,0.1964
2160,2021,,,,,,
2160,2022,508817000.0,-8781000.0,-0.2913,-2.6017,3.3992,
2160,2023,718962000.0,-174656000.0,-3.94,-104.1001,6.8609,
2160,2024,848298000.0,439836000.0,9.92,49.9432,0.299,
2160,2025,691100000.0,-78100000.0,-1.75,-9.1904,0.2751,
2170,2021,,,,,,
2170,2022,1911180000.0,64543000.0,1.31,2.5005,0.4003,1.1412
2170,2023,1396733000.0,-82245000.0,-1.61,-2.7124,0.364,
2170,2024,1555330000.0,-50703000.0,-0.73,-1.4515,0.0075,
